"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"TE","Kyle Rudolph",3900,"Ari@Min 01:00PM ET",11.800,"Min"
"RB","Damien Williams",3900,"Mia@LA 04:05PM ET",8.375,"Mia"
"WR","Tavon Austin",3900,"Mia@LA 04:05PM ET",10.200,"LA"
"WR","Pierre Garcon",3900,"GB@Was 08:30PM ET",10.633,"Was"
"RB","Duke Johnson Jr.",3800,"Pit@Cle 01:00PM ET",10.250,"Cle"
"WR","Anquan Boldin",3800,"Jax@Det 01:00PM ET",10.400,"Det"
"TE","Cameron Brate",3800,"TB@KC 01:00PM ET",11.389,"TB"
"TE","Zach Miller",3800,"Chi@NYG 01:00PM ET",11.611,"Chi"
"RB","Matt Asiata",3800,"Ari@Min 01:00PM ET",8.333,"Min"
"WR","Adam Thielen",3800,"Ari@Min 01:00PM ET",10.378,"Min"
"DST","Seahawks ",3800,"Phi@Sea 04:25PM ET",8.667,"Sea"
"DST","Steelers ",3700,"Pit@Cle 01:00PM ET",4.000,"Pit"
"WR","Victor Cruz",3700,"Chi@NYG 01:00PM ET",8.463,"NYG"
"TE","Martellus Bennett",3700,"NE@SF 04:25PM ET",13.556,"NE"
"RB","Wendell Smallwood",3700,"Phi@Sea 04:25PM ET",3.767,"Phi"
"TE","Dennis Pitta",3600,"Bal@Dal 01:00PM ET",9.611,"Bal"
"RB","Chris Ivory",3600,"Jax@Det 01:00PM ET",6.686,"Jax"
"RB","Rashad Jennings",3600,"Chi@NYG 01:00PM ET",9.333,"NYG"
"WR","Kenny Stills",3600,"Mia@LA 04:05PM ET",9.278,"Mia"
"DST","Patriots ",3600,"NE@SF 04:25PM ET",6.222,"NE"
"WR","Tyler Lockett",3600,"Phi@Sea 04:25PM ET",5.678,"Sea"
"RB","Chris Thompson",3600,"GB@Was 08:30PM ET",9.600,"Was"
"RB","T.J. Yeldon",3500,"Jax@Det 01:00PM ET",10.178,"Jax"
"RB","Dwayne Washington",3500,"Jax@Det 01:00PM ET",3.740,"Det"
"TE","Julius Thomas",3500,"Jax@Det 01:00PM ET",9.738,"Jax"
"WR","Marquise Goodwin",3500,"Buf@Cin 01:00PM ET",8.388,"Buf"
